Group,ID,Type,Tank,Origin,Fam,Trmt,T0,T7,T11,T14,T18,T21,T25,T28
C2-3-4,9,R,C2,inshore,20,control,6.287901351,5.452926556,5.964786137,5.683467476,6.02013023,6.359255371,6.061845491,6.201678629
C2-3-4,10,R,C2,inshore,20,control,6.412318448,5.989281169,6.013220308,5.76710883,6.108694938,6.348173827,6.48395769,6.008693224
C2-3-4,11,R,C2,inshore,20,control,6.465590723,5.986371169,5.983291839,5.382122517,5.691476705,6.414387041,6.797347743,6.213007329
C2-3-4,52,R,C2,inshore,20,control,6.067384289,5.888899609,5.339653195,5.295919936,5.808761852,5.807718546,5.656699231,5.338028972
C2-3-4,53,R,C2,inshore,20,control,5.870571639,5.779563834,5.80125398,5.499573667,5.993468907,6.42487335,6.057280163,6.023118453
C3-1-2,1,R,C3,inshore,20,control,6.42354973,4.593984793,5.263385224,4.709790787,5.585956137,4.595487721,3.543698976,5.322889
C3-1-2,2,R,C3,inshore,20,control,6.429840024,NA,NA,NA,NA,NA,NA,NA
C3-1-2,3,R,C3,inshore,20,control,6.681789999,4.885502455,4.67113654,4.925857332,5.039950641,4.799267424,4.52454567,5.245831231
C3-1-2,4,R,C3,inshore,20,control,5.552377735,4.552252167,4.789188311,4.615316204,4.741269596,NA,4.487378227,4.312960438
C3-3-4,24,R,C3,inshore,20,control,6.650204233,5.508356743,5.255126186,5.540245622,5.682522853,5.675086519,5.335667227,5.023704542
C3-3-4,25,R,C3,inshore,20,control,6.671419804,6.076863559,6.186459968,5.895351479,6.081376623,NA,NA,NA
C3-3-4,26,R,C3,inshore,20,control,6.037901717,5.548094353,5.889732693,5.465702667,5.544075422,5.615354066,6.555999386,5.759111938
C3-3-4,27,R,C3,inshore,20,control,6.778598054,6.011713301,6.11910071,6.283708913,6.042622575,6.025196567,6.360297967,6.069339891
C3-3-4,28,R,C3,inshore,20,control,6.743957691,6.019806501,6.056159874,6.013720098,6.005352896,6.049222103,5.964169861,6.13743871
C3-3-4,29,R,C3,inshore,20,control,7.069761963,6.128133979,6.159906125,6.417021078,6.267243603,6.296767967,6.108227849,6.24922679
C3-3-4,36,A,C3,inshore,20,control,6.962565653,7.087650736,6.805437059,6.892033289,6.88572636,6.939558432,6.516324485,6.410292337
H1-1-2,18,R,H1,inshore,20,heat,5.786444477,5.596571977,4.591817927,5.217046774,5.433917536,5.604014919,4.933461119,5.711883881
H1-1-2,19,R,H1,inshore,20,heat,5.766817904,5.49258951,4.707195876,5.342343792,6.089119989,5.823444131,5.055089716,5.520044899
H1-1-2,20,R,H1,inshore,20,heat,5.64689351,5.170719599,4.72855678,5.425423154,5.694579107,5.565467491,4.517942454,4.932515803
H1-1-2,25,A,H1,inshore,20,heat,7.185834503,7.255386829,6.763618903,7.500330523,7.214645582,7.290046884,6.431650272,7.048940224
H1-1-2,34,R,H1,inshore,20,heat,6.77129142,6.683106264,5.919256544,5.87415416,7.303945178,6.094023608,5.978635266,5.613799771
H1-1-2,35,R,H1,inshore,20,heat,5.731600472,5.161238225,5.652916502,6.307029898,7.08014501,6.489554247,6.126849189,5.813238002
H1-1-2,36,R,H1,inshore,20,heat,6.475685062,6.114797566,5.932992796,6.229826683,6.714327845,6.015362266,5.941283548,5.563545707
H1-1-2,43,R,H1,inshore,20,heat,7.969125687,7.484543886,6.712756884,6.139564217,6.955463798,6.605857717,6.411882292,6.20163475
H1-3-4,26,R,H1,inshore,20,heat,6.722382284,6.279558528,5.765118159,5.850023615,5.923088794,5.695036491,5.586802079,5.314730014
H1-3-4,27,R,H1,inshore,20,heat,6.946372929,6.176832271,6.274956291,6.012287897,6.230389141,5.814149807,5.711213371,5.314082348
H1-3-4,28,R,H1,inshore,20,heat,6.945983989,6.633105593,6.449570963,6.325609258,6.770551968,6.351885186,6.089219082,5.147308365
H1-3-4,29,R,H1,inshore,20,heat,6.659218401,6.35379083,6.253328971,6.03846472,5.975535299,5.462763628,4.905918433,4.804980928
H2-1-2,46,R,H2,inshore,20,heat,6.270710449,NA,6.674343328,6.467039286,6.225859232,5.577300461,5.304975812,5.330927013
H2-3-4,1,A,H2,inshore,20,heat,8.272531144,7.888787193,7.504346143,7.50157972,7.277801156,6.433842806,6.055565688,5.940946566
H2-3-4,4,R,H2,inshore,20,heat,6.591349212,6.259048586,5.760091574,5.52429473,5.265746493,5.058422247,5.124369479,5.026369351
H2-3-4,5,R,H2,inshore,20,heat,6.265541128,6.192571935,5.662827029,5.498367598,5.377665776,4.908278872,4.828337004,4.513299325
H2-3-4,6,R,H2,inshore,20,heat,6.489727807,6.267347418,5.66944893,5.555548149,5.295015845,5.179513359,5.214872827,4.956656103
H2-3-4,7,R,H2,inshore,20,heat,6.212134258,6.257586616,5.891927601,5.936487714,6.201805946,5.727264562,5.841301984,5.531688952
H2-3-4,8,R,H2,inshore,20,heat,6.692926983,6.082795162,5.596995014,5.469667274,5.828261845,5.406849316,5.480026724,5.457755578
H2-3-4,9,R,H2,inshore,20,heat,6.38692831,5.973018389,5.480337759,5.45822236,5.326724309,4.853935934,4.892103522,4.655606869
H3-1-2,1,R,H3,inshore,20,heat,6.969474097,6.059788531,6.015860796,6.593183542,6.403052851,6.03908522,5.501154556,5.095381533
H3-1-2,2,R,H3,inshore,20,heat,6.36987904,5.835116871,5.511669898,6.068389862,5.343222813,5.409849874,5.384346387,4.564857358
H3-1-2,3,R,H3,inshore,20,heat,6.450140636,6.026496337,5.575425211,5.759281684,5.748912823,5.699790955,5.331448048,5.099176618
H3-1-2,4,R,H3,inshore,20,heat,6.491570569,5.942826909,6.245842609,6.245945182,6.504009996,6.302361378,5.927795852,5.670730669
H3-1-2,5,R,H3,inshore,20,heat,6.661525834,6.25552367,6.229274393,6.723990213,6.144957246,5.832760505,5.713467617,5.323229816
H3-1-2,13,A,H3,inshore,20,heat,7.349011195,6.577381975,6.792094777,7.076899598,7.090743728,7.091882137,6.653270781,5.933940069
H3-1-2,18,R,H3,inshore,20,heat,6.52253624,5.940429601,5.812517409,6.176475124,5.913496999,5.668084197,5.340624291,4.896426017
H3-1-2,19,R,H3,inshore,20,heat,7.016492087,6.365023248,6.634090014,6.682987209,6.416624361,6.195701691,4.274380902,5.306939595
H3-1-2,20,R,H3,inshore,20,heat,6.40853274,5.994014501,5.985412021,5.894863956,5.882326523,5.68161194,5.300284809,5.041928126
H3-1-2,21,R,H3,inshore,20,heat,6.726660522,6.036997222,5.712155523,5.715182002,5.591977429,5.506496901,4.953926638,4.56181413
